Fips,Location,Coverage Type,Race / Ethnicity,TimeFrame,Data Type,Data,MOE
2,Alaska,Insured,Hispanic / Latino,2012,Percent,0.79854,0.066907
2,Alaska,Insured,Hispanic / Latino,2012,Number,34480,
2,Alaska,Public,Hispanic / Latino,2012,Percent,0.23113,0.098337
2,Alaska,Public,Hispanic / Latino,2012,Number,9980,
2,Alaska,Private,Hispanic / Latino,2012,Percent,0.56741,0.126167
2,Alaska,Private,Hispanic / Latino,2012,Number,24500,
2,Alaska,Medicare,Hispanic / Latino,2012,Percent,0.03296,0.024581
2,Alaska,Medicare,Hispanic / Latino,2012,Number,1423,
2,Alaska,Employer,Hispanic / Latino,2012,Percent,0.55414,0.129102
2,Alaska,Employer,Hispanic / Latino,2012,Number,23927,
2,Alaska,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.19818,0.100965
2,Alaska,Medicaid/CHIP,Hispanic / Latino,2012,Number,8557,
2,Alaska,Individual,Hispanic / Latino,2012,Percent,0.01327,0.015231
2,Alaska,Individual,Hispanic / Latino,2012,Number,573,
2,Alaska,Uninsured,Hispanic / Latino,2012,Percent,0.20146,0.066907
2,Alaska,Uninsured,Hispanic / Latino,2012,Number,8699,
2,Alaska,Insured,White,2012,Percent,0.84515,0.021193
2,Alaska,Insured,White,2012,Number,386870,
2,Alaska,Public,White,2012,Percent,0.15968,0.012974
2,Alaska,Public,White,2012,Number,73092,
2,Alaska,Private,White,2012,Percent,0.68548,0.0244
2,Alaska,Private,White,2012,Number,313778,
2,Alaska,Medicare,White,2012,Percent,0.10758,0.006373
2,Alaska,Medicare,White,2012,Number,49245,
2,Alaska,Employer,White,2012,Percent,0.65145,0.027481
2,Alaska,Employer,White,2012,Number,298202,
2,Alaska,Medicaid/CHIP,White,2012,Percent,0.0521,0.011443
2,Alaska,Medicaid/CHIP,White,2012,Number,23847,
2,Alaska,Individual,White,2012,Percent,0.03403,0.012066
2,Alaska,Individual,White,2012,Number,15576,
2,Alaska,Uninsured,White,2012,Percent,0.15485,0.021193
2,Alaska,Uninsured,White,2012,Number,70882,
2,Alaska,Insured,African-American / Black,2012,Percent,0.91198,0.075002
2,Alaska,Insured,African-American / Black,2012,Number,24005,
2,Alaska,Public,African-American / Black,2012,Percent,0.15428,0.103441
2,Alaska,Public,African-American / Black,2012,Number,4061,
2,Alaska,Private,African-American / Black,2012,Percent,0.75769,0.124804
2,Alaska,Private,African-American / Black,2012,Number,19944,
2,Alaska,Medicare,African-American / Black,2012,Percent,0.10083,0.088715
2,Alaska,Medicare,African-American / Black,2012,Number,2654,
2,Alaska,Employer,African-American / Black,2012,Percent,0.75769,0.124804
2,Alaska,Employer,African-American / Black,2012,Number,19944,
2,Alaska,Medicaid/CHIP,African-American / Black,2012,Percent,0.05345,0.072297
2,Alaska,Medicaid/CHIP,African-American / Black,2012,Number,1407,
2,Alaska,Individual,African-American / Black,2012,Percent,N/A,N/A
2,Alaska,Individual,African-American / Black,2012,Number,N/A,
2,Alaska,Uninsured,African-American / Black,2012,Percent,0.08803,0.075002
2,Alaska,Uninsured,African-American / Black,2012,Number,2317,
2,Alaska,Insured,Asian,2012,Percent,0.72156,0.130789
2,Alaska,Insured,Asian,2012,Number,30670,
2,Alaska,Public,Asian,2012,Percent,0.20798,0.076558
2,Alaska,Public,Asian,2012,Number,8840,
2,Alaska,Private,Asian,2012,Percent,0.51359,0.113892
2,Alaska,Private,Asian,2012,Number,21830,
2,Alaska,Medicare,Asian,2012,Percent,0.10095,0.034307
2,Alaska,Medicare,Asian,2012,Number,4291,
2,Alaska,Employer,Asian,2012,Percent,0.47637,0.118122
2,Alaska,Employer,Asian,2012,Number,20248,
2,Alaska,Medicaid/CHIP,Asian,2012,Percent,0.10702,0.083441
2,Alaska,Medicaid/CHIP,Asian,2012,Number,4549,
2,Alaska,Individual,Asian,2012,Percent,0.03722,0.037536
2,Alaska,Individual,Asian,2012,Number,1582,
2,Alaska,Uninsured,Asian,2012,Percent,0.27844,0.130789
2,Alaska,Uninsured,Asian,2012,Number,11835,
2,Alaska,Insured,Other / Multiple Races,2012,Percent,0.67274,0.043961
2,Alaska,Insured,Other / Multiple Races,2012,Number,104313,
2,Alaska,Public,Other / Multiple Races,2012,Percent,0.3203,0.042279
2,Alaska,Public,Other / Multiple Races,2012,Number,49665,
2,Alaska,Private,Other / Multiple Races,2012,Percent,0.35244,0.044935
2,Alaska,Private,Other / Multiple Races,2012,Number,54648,
2,Alaska,Medicare,Other / Multiple Races,2012,Percent,0.06425,0.009177
2,Alaska,Medicare,Other / Multiple Races,2012,Number,9962,
2,Alaska,Employer,Other / Multiple Races,2012,Percent,0.34923,0.04471
2,Alaska,Employer,Other / Multiple Races,2012,Number,54150,
2,Alaska,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.25605,0.040043
2,Alaska,Medicaid/CHIP,Other / Multiple Races,2012,Number,39703,
2,Alaska,Individual,Other / Multiple Races,2012,Percent,0.00321,0.003008
2,Alaska,Individual,Other / Multiple Races,2012,Number,498,
2,Alaska,Uninsured,Other / Multiple Races,2012,Percent,0.32726,0.043961
2,Alaska,Uninsured,Other / Multiple Races,2012,Number,50744,
4,Arizona,Insured,Hispanic / Latino,2012,Percent,0.71788,0.014097
4,Arizona,Insured,Hispanic / Latino,2012,Number,1393455,
4,Arizona,Public,Hispanic / Latino,2012,Percent,0.33175,0.011753
4,Arizona,Public,Hispanic / Latino,2012,Number,643947,
4,Arizona,Private,Hispanic / Latino,2012,Percent,0.38613,0.014006
4,Arizona,Private,Hispanic / Latino,2012,Number,749508,
4,Arizona,Medicare,Hispanic / Latino,2012,Percent,0.06474,0.002195
4,Arizona,Medicare,Hispanic / Latino,2012,Number,125668,
4,Arizona,Employer,Hispanic / Latino,2012,Percent,0.36409,0.013517
4,Arizona,Employer,Hispanic / Latino,2012,Number,706725,
4,Arizona,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.26701,0.0114
4,Arizona,Medicaid/CHIP,Hispanic / Latino,2012,Number,518279,
4,Arizona,Individual,Hispanic / Latino,2012,Percent,0.02204,0.003416
4,Arizona,Individual,Hispanic / Latino,2012,Number,42783,
4,Arizona,Uninsured,Hispanic / Latino,2012,Percent,0.28212,0.014097
4,Arizona,Uninsured,Hispanic / Latino,2012,Number,547618,
4,Arizona,Insured,White,2012,Percent,0.88735,0.005612
4,Arizona,Insured,White,2012,Number,3278010,
4,Arizona,Public,White,2012,Percent,0.31064,0.005504
4,Arizona,Public,White,2012,Number,1147571,
4,Arizona,Private,White,2012,Percent,0.5767,0.00717
4,Arizona,Private,White,2012,Number,2130439,
4,Arizona,Medicare,White,2012,Percent,0.22935,0.002021
4,Arizona,Medicare,White,2012,Number,847269,
4,Arizona,Employer,White,2012,Percent,0.50647,0.00708
4,Arizona,Employer,White,2012,Number,1870986,
4,Arizona,Medicaid/CHIP,White,2012,Percent,0.08129,0.005078
4,Arizona,Medicaid/CHIP,White,2012,Number,300302,
4,Arizona,Individual,White,2012,Percent,0.07023,0.004046
4,Arizona,Individual,White,2012,Number,259453,
4,Arizona,Uninsured,White,2012,Percent,0.11265,0.005612
4,Arizona,Uninsured,White,2012,Number,416160,
4,Arizona,Insured,African-American / Black,2012,Percent,0.84346,0.022611
4,Arizona,Insured,African-American / Black,2012,Number,212349,
4,Arizona,Public,African-American / Black,2012,Percent,0.33148,0.037164
4,Arizona,Public,African-American / Black,2012,Number,83452,
4,Arizona,Private,African-American / Black,2012,Percent,0.51199,0.045196
4,Arizona,Private,African-American / Black,2012,Number,128897,
4,Arizona,Medicare,African-American / Black,2012,Percent,0.09983,0.010885
4,Arizona,Medicare,African-American / Black,2012,Number,25133,
4,Arizona,Employer,African-American / Black,2012,Percent,0.47572,0.0456
4,Arizona,Employer,African-American / Black,2012,Number,119767,
4,Arizona,Medicaid/CHIP,African-American / Black,2012,Percent,0.23165,0.036844
4,Arizona,Medicaid/CHIP,African-American / Black,2012,Number,58319,
4,Arizona,Individual,African-American / Black,2012,Percent,0.03627,0.0192
4,Arizona,Individual,African-American / Black,2012,Number,9130,
4,Arizona,Uninsured,African-American / Black,2012,Percent,0.15654,0.022611
4,Arizona,Uninsured,African-American / Black,2012,Number,39410,
4,Arizona,Insured,Asian,2012,Percent,0.85592,0.031968
4,Arizona,Insured,Asian,2012,Number,160604,
4,Arizona,Public,Asian,2012,Percent,0.16859,0.026487
4,Arizona,Public,Asian,2012,Number,31634,
4,Arizona,Private,Asian,2012,Percent,0.68733,0.041883
4,Arizona,Private,Asian,2012,Number,128970,
4,Arizona,Medicare,Asian,2012,Percent,0.09263,0.014117
4,Arizona,Medicare,Asian,2012,Number,17381,
4,Arizona,Employer,Asian,2012,Percent,0.57247,0.043798
4,Arizona,Employer,Asian,2012,Number,107418,
4,Arizona,Medicaid/CHIP,Asian,2012,Percent,0.07596,0.023247
4,Arizona,Medicaid/CHIP,Asian,2012,Number,14253,
4,Arizona,Individual,Asian,2012,Percent,0.11486,0.028627
4,Arizona,Individual,Asian,2012,Number,21552,
4,Arizona,Uninsured,Asian,2012,Percent,0.14408,0.031968
4,Arizona,Uninsured,Asian,2012,Number,27035,
4,Arizona,Insured,Other / Multiple Races,2012,Percent,0.76107,0.017759
4,Arizona,Insured,Other / Multiple Races,2012,Number,295346,
4,Arizona,Public,Other / Multiple Races,2012,Percent,0.37845,0.025445
4,Arizona,Public,Other / Multiple Races,2012,Number,146864,
4,Arizona,Private,Other / Multiple Races,2012,Percent,0.38262,0.025899
4,Arizona,Private,Other / Multiple Races,2012,Number,148482,
4,Arizona,Medicare,Other / Multiple Races,2012,Percent,0.085,0.007486
4,Arizona,Medicare,Other / Multiple Races,2012,Number,32987,
4,Arizona,Employer,Other / Multiple Races,2012,Percent,0.35143,0.025214
4,Arizona,Employer,Other / Multiple Races,2012,Number,136379,
4,Arizona,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.29345,0.024636
4,Arizona,Medicaid/CHIP,Other / Multiple Races,2012,Number,113877,
4,Arizona,Individual,Other / Multiple Races,2012,Percent,0.03119,0.007682
4,Arizona,Individual,Other / Multiple Races,2012,Number,12103,
4,Arizona,Uninsured,Other / Multiple Races,2012,Percent,0.23893,0.017759
4,Arizona,Uninsured,Other / Multiple Races,2012,Number,92721,
5,Arkansas,Insured,Hispanic / Latino,2012,Percent,0.71509,0.038025
5,Arkansas,Insured,Hispanic / Latino,2012,Number,139197,
5,Arkansas,Public,Hispanic / Latino,2012,Percent,0.32449,0.034555
5,Arkansas,Public,Hispanic / Latino,2012,Number,63165,
5,Arkansas,Private,Hispanic / Latino,2012,Percent,0.39059,0.048555
5,Arkansas,Private,Hispanic / Latino,2012,Number,76032,
5,Arkansas,Medicare,Hispanic / Latino,2012,Percent,0.04238,0.012115
5,Arkansas,Medicare,Hispanic / Latino,2012,Number,8250,
5,Arkansas,Employer,Hispanic / Latino,2012,Percent,0.37608,0.046937
5,Arkansas,Employer,Hispanic / Latino,2012,Number,73206,
5,Arkansas,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.28211,0.035139
5,Arkansas,Medicaid/CHIP,Hispanic / Latino,2012,Number,54915,
5,Arkansas,Individual,Hispanic / Latino,2012,Percent,0.01452,0.008986
5,Arkansas,Individual,Hispanic / Latino,2012,Number,2826,
5,Arkansas,Uninsured,Hispanic / Latino,2012,Percent,0.28492,0.038025
5,Arkansas,Uninsured,Hispanic / Latino,2012,Number,55461,
5,Arkansas,Insured,White,2012,Percent,0.852,0.007576
5,Arkansas,Insured,White,2012,Number,1831640,
5,Arkansas,Public,White,2012,Percent,0.32604,0.008569
5,Arkansas,Public,White,2012,Number,700932,
5,Arkansas,Private,White,2012,Percent,0.52595,0.010834
5,Arkansas,Private,White,2012,Number,1130708,
5,Arkansas,Medicare,White,2012,Percent,0.21004,0.003253
5,Arkansas,Medicare,White,2012,Number,451546,
5,Arkansas,Employer,White,2012,Percent,0.47632,0.011568
5,Arkansas,Employer,White,2012,Number,1024013,
5,Arkansas,Medicaid/CHIP,White,2012,Percent,0.116,0.007655
5,Arkansas,Medicaid/CHIP,White,2012,Number,249386,
5,Arkansas,Individual,White,2012,Percent,0.04963,0.004884
5,Arkansas,Individual,White,2012,Number,106695,
5,Arkansas,Uninsured,White,2012,Percent,0.14801,0.007576
5,Arkansas,Uninsured,White,2012,Number,318186,
5,Arkansas,Insured,African-American / Black,2012,Percent,0.81674,0.017075
5,Arkansas,Insured,African-American / Black,2012,Number,365513,
5,Arkansas,Public,African-American / Black,2012,Percent,0.41475,0.022246
5,Arkansas,Public,African-American / Black,2012,Number,185612,
5,Arkansas,Private,African-American / Black,2012,Percent,0.40199,0.026627
5,Arkansas,Private,African-American / Black,2012,Number,179901,
5,Arkansas,Medicare,African-American / Black,2012,Percent,0.13683,0.010285
5,Arkansas,Medicare,African-American / Black,2012,Number,61234,
5,Arkansas,Employer,African-American / Black,2012,Percent,0.37815,0.025733
5,Arkansas,Employer,African-American / Black,2012,Number,169232,
5,Arkansas,Medicaid/CHIP,African-American / Black,2012,Percent,0.27792,0.021165
5,Arkansas,Medicaid/CHIP,African-American / Black,2012,Number,124378,
5,Arkansas,Individual,African-American / Black,2012,Percent,0.02384,0.007486
5,Arkansas,Individual,African-American / Black,2012,Number,10669,
5,Arkansas,Uninsured,African-American / Black,2012,Percent,0.18326,0.017075
5,Arkansas,Uninsured,African-American / Black,2012,Number,82012,
5,Arkansas,Insured,Asian,2012,Percent,0.8071,0.059125
5,Arkansas,Insured,Asian,2012,Number,29653,
5,Arkansas,Public,Asian,2012,Percent,0.12145,0.049311
5,Arkansas,Public,Asian,2012,Number,4462,
5,Arkansas,Private,Asian,2012,Percent,0.68566,0.078654
5,Arkansas,Private,Asian,2012,Number,25191,
5,Arkansas,Medicare,Asian,2012,Percent,0.03851,0.029218
5,Arkansas,Medicare,Asian,2012,Number,1415,
5,Arkansas,Employer,Asian,2012,Percent,0.58789,0.083707
5,Arkansas,Employer,Asian,2012,Number,21599,
5,Arkansas,Medicaid/CHIP,Asian,2012,Percent,0.08293,0.040488
5,Arkansas,Medicaid/CHIP,Asian,2012,Number,3047,
5,Arkansas,Individual,Asian,2012,Percent,0.09777,0.040838
5,Arkansas,Individual,Asian,2012,Number,3592,
5,Arkansas,Uninsured,Asian,2012,Percent,0.1929,0.059125
5,Arkansas,Uninsured,Asian,2012,Number,7087,
5,Arkansas,Insured,Other / Multiple Races,2012,Percent,0.87436,0.035323
5,Arkansas,Insured,Other / Multiple Races,2012,Number,63616,
5,Arkansas,Public,Other / Multiple Races,2012,Percent,0.38509,0.04804
5,Arkansas,Public,Other / Multiple Races,2012,Number,28018,
5,Arkansas,Private,Other / Multiple Races,2012,Percent,0.48927,0.04584
5,Arkansas,Private,Other / Multiple Races,2012,Number,35598,
5,Arkansas,Medicare,Other / Multiple Races,2012,Percent,0.16734,0.031771
5,Arkansas,Medicare,Other / Multiple Races,2012,Number,12175,
5,Arkansas,Employer,Other / Multiple Races,2012,Percent,0.45932,0.046824
5,Arkansas,Employer,Other / Multiple Races,2012,Number,33419,
5,Arkansas,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.21775,0.043158
5,Arkansas,Medicaid/CHIP,Other / Multiple Races,2012,Number,15843,
5,Arkansas,Individual,Other / Multiple Races,2012,Percent,0.02995,0.016275
5,Arkansas,Individual,Other / Multiple Races,2012,Number,2179,
5,Arkansas,Uninsured,Other / Multiple Races,2012,Percent,0.12564,0.035323
5,Arkansas,Uninsured,Other / Multiple Races,2012,Number,9141,
6,California,Insured,Hispanic / Latino,2012,Percent,0.7279,0.004577
6,California,Insured,Hispanic / Latino,2012,Number,10484619,
6,California,Public,Hispanic / Latino,2012,Percent,0.31967,0.004042
6,California,Public,Hispanic / Latino,2012,Number,4604512,
6,California,Private,Hispanic / Latino,2012,Percent,0.40823,0.005213
6,California,Private,Hispanic / Latino,2012,Number,5880107,
6,California,Medicare,Hispanic / Latino,2012,Percent,0.06575,0.000963
6,California,Medicare,Hispanic / Latino,2012,Number,947096,
6,California,Employer,Hispanic / Latino,2012,Percent,0.37538,0.004994
6,California,Employer,Hispanic / Latino,2012,Number,5406962,
6,California,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.25392,0.003922
6,California,Medicaid/CHIP,Hispanic / Latino,2012,Number,3657416,
6,California,Individual,Hispanic / Latino,2012,Percent,0.03285,0.001636
6,California,Individual,Hispanic / Latino,2012,Number,473145,
6,California,Uninsured,Hispanic / Latino,2012,Percent,0.2721,0.004577
6,California,Uninsured,Hispanic / Latino,2012,Number,3919252,
6,California,Insured,White,2012,Percent,0.89568,0.002265
6,California,Insured,White,2012,Number,13233526,
6,California,Public,White,2012,Percent,0.26543,0.002503
6,California,Public,White,2012,Number,3921650,
6,California,Private,White,2012,Percent,0.63025,0.003017
6,California,Private,White,2012,Number,9311876,
6,California,Medicare,White,2012,Percent,0.19886,0.000974
6,California,Medicare,White,2012,Number,2938083,
6,California,Employer,White,2012,Percent,0.54428,0.00347
6,California,Employer,White,2012,Number,8041693,
6,California,Medicaid/CHIP,White,2012,Percent,0.06657,0.00242
6,California,Medicaid/CHIP,White,2012,Number,983567,
6,California,Individual,White,2012,Percent,0.08597,0.002153
6,California,Individual,White,2012,Number,1270183,
6,California,Uninsured,White,2012,Percent,0.10432,0.002265
6,California,Uninsured,White,2012,Number,1541330,
6,California,Insured,African-American / Black,2012,Percent,0.84608,0.008726
6,California,Insured,African-American / Black,2012,Number,1755996,
6,California,Public,African-American / Black,2012,Percent,0.36749,0.011771
6,California,Public,African-American / Black,2012,Number,762709,
6,California,Private,African-American / Black,2012,Percent,0.47859,0.013477
6,California,Private,African-American / Black,2012,Number,993287,
6,California,Medicare,African-American / Black,2012,Percent,0.13747,0.004874
6,California,Medicare,African-American / Black,2012,Number,285320,
6,California,Employer,African-American / Black,2012,Percent,0.44332,0.012921
6,California,Employer,African-American / Black,2012,Number,920098,
6,California,Medicaid/CHIP,African-American / Black,2012,Percent,0.23002,0.010429
6,California,Medicaid/CHIP,African-American / Black,2012,Number,477389,
6,California,Individual,African-American / Black,2012,Percent,0.03526,0.004212
6,California,Individual,African-American / Black,2012,Number,73189,
6,California,Uninsured,African-American / Black,2012,Percent,0.15392,0.008726
6,California,Uninsured,African-American / Black,2012,Number,319460,
6,California,Insured,Asian,2012,Percent,0.86068,0.004762
6,California,Insured,Asian,2012,Number,4330037,
6,California,Public,Asian,2012,Percent,0.22403,0.004759
6,California,Public,Asian,2012,Number,1127084,
6,California,Private,Asian,2012,Percent,0.63665,0.006891
6,California,Private,Asian,2012,Number,3202953,
6,California,Medicare,Asian,2012,Percent,0.12914,0.002119
6,California,Medicare,Asian,2012,Number,649705,
6,California,Employer,Asian,2012,Percent,0.54023,0.007564
6,California,Employer,Asian,2012,Number,2717897,
6,California,Medicaid/CHIP,Asian,2012,Percent,0.09489,0.004719
6,California,Medicaid/CHIP,Asian,2012,Number,477379,
6,California,Individual,Asian,2012,Percent,0.09641,0.00456
6,California,Individual,Asian,2012,Number,485056,
6,California,Uninsured,Asian,2012,Percent,0.13932,0.004762
6,California,Uninsured,Asian,2012,Number,700936,
6,California,Insured,Other / Multiple Races,2012,Percent,0.85442,0.007888
6,California,Insured,Other / Multiple Races,2012,Number,1177835,
6,California,Public,Other / Multiple Races,2012,Percent,0.22176,0.010105
6,California,Public,Other / Multiple Races,2012,Number,305697,
6,California,Private,Other / Multiple Races,2012,Percent,0.63266,0.012088
6,California,Private,Other / Multiple Races,2012,Number,872138,
6,California,Medicare,Other / Multiple Races,2012,Percent,0.07785,0.005546
6,California,Medicare,Other / Multiple Races,2012,Number,107322,
6,California,Employer,Other / Multiple Races,2012,Percent,0.5626,0.012748
6,California,Employer,Other / Multiple Races,2012,Number,775560,
6,California,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.14391,0.009795
6,California,Medicaid/CHIP,Other / Multiple Races,2012,Number,198375,
6,California,Individual,Other / Multiple Races,2012,Percent,0.07006,0.006584
6,California,Individual,Other / Multiple Races,2012,Number,96578,
6,California,Uninsured,Other / Multiple Races,2012,Percent,0.14558,0.007888
6,California,Uninsured,Other / Multiple Races,2012,Number,200683,
8,Colorado,Insured,Hispanic / Latino,2012,Percent,0.72961,0.017863
8,Colorado,Insured,Hispanic / Latino,2012,Number,782357,
8,Colorado,Public,Hispanic / Latino,2012,Percent,0.31125,0.01383
8,Colorado,Public,Hispanic / Latino,2012,Number,333751,
8,Colorado,Private,Hispanic / Latino,2012,Percent,0.41836,0.018975
8,Colorado,Private,Hispanic / Latino,2012,Number,448606,
8,Colorado,Medicare,Hispanic / Latino,2012,Percent,0.07065,0.004764
8,Colorado,Medicare,Hispanic / Latino,2012,Number,75758,
8,Colorado,Employer,Hispanic / Latino,2012,Percent,0.3868,0.01932
8,Colorado,Employer,Hispanic / Latino,2012,Number,414761,
8,Colorado,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.2406,0.01309
8,Colorado,Medicaid/CHIP,Hispanic / Latino,2012,Number,257993,
8,Colorado,Individual,Hispanic / Latino,2012,Percent,0.03156,0.005888
8,Colorado,Individual,Hispanic / Latino,2012,Number,33845,
8,Colorado,Uninsured,Hispanic / Latino,2012,Percent,0.27039,0.017863
8,Colorado,Uninsured,Hispanic / Latino,2012,Number,289938,
8,Colorado,Insured,White,2012,Percent,0.89578,0.004963
8,Colorado,Insured,White,2012,Number,3199839,
8,Colorado,Public,White,2012,Percent,0.21635,0.006318
8,Colorado,Public,White,2012,Number,772815,
8,Colorado,Private,White,2012,Percent,0.67944,0.007958
8,Colorado,Private,White,2012,Number,2427024,
8,Colorado,Medicare,White,2012,Percent,0.15313,0.002082
8,Colorado,Medicare,White,2012,Number,546998,
8,Colorado,Employer,White,2012,Percent,0.58917,0.009096
8,Colorado,Employer,White,2012,Number,2104592,
8,Colorado,Medicaid/CHIP,White,2012,Percent,0.06322,0.005728
8,Colorado,Medicaid/CHIP,White,2012,Number,225817,
8,Colorado,Individual,White,2012,Percent,0.09026,0.004967
8,Colorado,Individual,White,2012,Number,322432,
8,Colorado,Uninsured,White,2012,Percent,0.10422,0.004963
8,Colorado,Uninsured,White,2012,Number,372277,
8,Colorado,Insured,African-American / Black,2012,Percent,0.84359,0.031229
8,Colorado,Insured,African-American / Black,2012,Number,162645,
8,Colorado,Public,African-American / Black,2012,Percent,0.36516,0.039161
8,Colorado,Public,African-American / Black,2012,Number,70403,
8,Colorado,Private,African-American / Black,2012,Percent,0.47843,0.04087
8,Colorado,Private,African-American / Black,2012,Number,92242,
